id,cluster
766192484,0
766192485,4
766192486,2
766192487,0
766192488,36
766192489,16
766192490,36
766192491,51
766192492,21
766192493,38
766192494,28
766192495,13
766192496,4
766192497,0
766192498,36
766192499,59
766192500,36
766192501,58
766192502,13
766192503,36
766192504,26
766192505,56
766192506,0
766192507,22
766192508,36
766192509,11
766192510,16
766192511,41
766192512,36
766192513,46
766192514,18
766192515,16
766192516,40
766192517,5
766192518,16
766192519,36
766192520,16
766192521,44
766192522,16
766192523,16
766192524,16
766192525,39
766192526,4
766192527,32
766192528,35
766192529,21
766192530,15
766192531,58
766192532,50
766192533,0
766192534,16
766192535,40
766192536,56
766192537,22
766192538,6
766192539,36
766192540,28
766192541,37
766192542,56
766192543,47
766192544,34
766192545,14
766192546,13
766192547,38
766192548,35
766192549,0
766192550,40
766192551,20
766192552,16
766192553,0
766192554,4
766192555,13
766192556,0
766192557,15
766192558,16
766192559,31
766192560,4
766192561,47
766192562,23
766192563,54
766192564,56
766192565,8
766192566,35
766192567,54
766192568,37
766192569,56
766192570,40
766192571,16
766192572,36
766192573,23
766192574,16
766192575,14
766192576,56
766192577,6
766192578,48
766192579,4
766192580,20
766192581,0
766192582,40
766192583,0
766192585,37
766192586,35
766192587,5
766192588,38
766192589,20
766192590,44
766192591,35
766192592,44
766192593,30
766192594,36
766192595,16
766192596,58
766192597,16
766192598,15
766192599,56
766192600,17
766192601,45
766192602,20
766192603,47
766192604,36
766192605,38
766192606,4
766192607,3
766192608,0
766192609,56
766192610,16
766192611,24
766192612,2
766192613,13
766192614,36
766192615,27
766192616,15
766192617,16
766192618,24
766192619,41
766192620,13
766192621,31
766192622,16
766192623,57
766192624,12
766192625,50
766192626,36
766192627,1
766192628,32
766192629,41
766192630,40
766192631,12
766192632,22
766192633,16
766192634,48
766192635,59
766192636,51
766192637,4
766192638,1
766192639,36
766192640,28
766192641,32
766192642,4
766192643,3
766192644,4
766192645,56
766192646,41
766192647,0
766192648,7
766192649,4
766192650,38
766192651,34
766192652,36
766192653,51
766192654,16
766192655,0
766192656,38
766192657,17
766192658,59
766192659,15
766192660,35
766192661,16
766192662,38
766192663,4
766192664,12
766192665,26
766192666,4
766192667,0
766192668,0
766192669,36
766192670,40
766192671,16
766192672,40
766192673,24
766192674,13
766192675,22
766192676,6
766192677,35
766192678,50
766192679,48
766192680,44
766192681,36
766192682,7
766192683,32
766192684,51
766192685,14
766192686,40
766192687,56
766192688,42
766192689,4
766192690,0
766192691,47
766192692,1
766192693,16
766192694,7
766192695,37
766192696,0
766192697,40
766192698,52
766192699,37
766192700,25
766192701,2
766192702,48
766192703,7
766192704,56
766192705,56
766192706,3
766192707,41
766192708,40
766192709,35
766192710,4
766192711,37
766192712,3
766192713,55
766192714,15
766192715,16
766192716,36
766192717,32
766192718,36
766192719,36
766192720,26
766192721,3
766192722,36
766192723,36
766192724,17
766192725,40
766192726,10
766192727,3
766192728,34
766192729,51
766192730,36
766192731,23
766192732,47
766192733,56
766192734,15
766192735,56
766192736,4
766192737,37
766192738,38
