id,cluster
766192484,2
766192485,1
766192486,0
766192487,2
766192488,1
766192489,1
766192490,1
766192491,1
766192492,0
766192493,0
766192494,0
766192495,3
766192496,1
766192497,2
766192498,1
766192499,1
766192500,1
766192501,0
766192502,3
766192503,1
766192504,0
766192505,1
766192506,2
766192507,2
766192508,1
766192509,2
766192510,1
766192511,1
766192512,1
766192513,2
766192514,0
766192515,1
766192516,1
766192517,0
766192518,1
766192519,1
766192520,1
766192521,1
766192522,1
766192523,1
766192524,1
766192525,0
766192526,1
766192527,1
766192528,1
766192529,0
766192530,0
766192531,0
766192532,1
766192533,2
766192534,1
766192535,1
766192536,1
766192537,2
766192538,1
766192539,1
766192540,0
766192541,1
766192542,1
766192543,1
766192544,0
766192545,1
766192546,3
766192547,0
766192548,1
766192549,2
766192550,1
766192551,1
766192552,1
766192553,2
766192554,1
766192555,3
766192556,2
766192557,0
766192558,1
766192559,2
766192560,1
766192561,1
766192562,1
766192563,0
766192564,1
766192565,0
766192566,1
766192567,0
766192568,1
766192569,1
766192570,1
766192571,1
766192572,1
766192573,1
766192574,1
766192575,1
766192576,1
766192577,1
766192578,1
766192579,1
766192580,1
766192581,2
766192582,1
766192583,2
766192585,1
766192586,1
766192587,0
766192588,0
766192589,1
766192590,1
766192591,1
766192592,1
766192593,2
766192594,1
766192595,1
766192596,0
766192597,1
766192598,0
766192599,1
766192600,0
766192601,0
766192602,1
766192603,1
766192604,1
766192605,0
766192606,1
766192607,3
766192608,2
766192609,1
766192610,1
766192611,1
766192612,0
766192613,3
766192614,1
766192615,1
766192616,0
766192617,1
766192618,1
766192619,1
766192620,3
766192621,2
766192622,1
766192623,0
766192624,0
766192625,1
766192626,1
766192627,1
766192628,1
766192629,1
766192630,1
766192631,0
766192632,2
766192633,1
766192634,1
766192635,1
766192636,1
766192637,1
766192638,1
766192639,1
766192640,0
766192641,1
766192642,1
766192643,3
766192644,1
766192645,1
766192646,1
766192647,2
766192648,0
766192649,1
766192650,0
766192651,0
766192652,1
766192653,1
766192654,1
766192655,2
766192656,0
766192657,0
766192658,1
766192659,0
766192660,1
766192661,1
766192662,0
766192663,1
766192664,0
766192665,0
766192666,1
766192667,2
766192668,2
766192669,1
766192670,1
766192671,1
766192672,1
766192673,1
766192674,3
766192675,2
766192676,1
766192677,1
766192678,1
766192679,1
766192680,1
766192681,1
766192682,0
766192683,1
766192684,1
766192685,1
766192686,1
766192687,1
766192688,3
766192689,1
766192690,2
766192691,1
766192692,1
766192693,1
766192694,0
766192695,1
766192696,2
766192697,1
766192698,1
766192699,1
766192700,2
766192701,0
766192702,1
766192703,0
766192704,1
766192705,1
766192706,3
766192707,1
766192708,1
766192709,1
766192710,1
766192711,1
766192712,3
766192713,0
766192714,0
766192715,1
766192716,1
766192717,1
766192718,1
766192719,1
766192720,0
766192721,3
766192722,1
766192723,1
766192724,0
766192725,1
766192726,2
766192727,3
766192728,0
766192729,1
766192730,1
766192731,1
766192732,1
766192733,1
766192734,0
766192735,1
766192736,1
766192737,1
766192738,0
766192739,0
766192740,1
766192741,1
766192742,2
766192743,1
766192744,1
766192745,1
766192746,1
766192747,3
766192748,1
766192749,3
766192750,1
766192751,1
766192752,1
766192753,0
766192754,1
766192755,0
766192756,1
766192757,1
766192758,1
766192759,1
766192760,1
766192761,1
766192762,1
766192763,1
766192764,1
766192765,1
766192766,3
766192767,3
766192768,1
766192769,1
766192770,3
766192771,1
766192772,1
766192773,1
766192774,1
766192775,1
766192776,3
766192777,2
766192778,1
766192779,0
766192780,1
766192781,2
766192782,1
766192783,3
766192784,0
766192785,1
766192786,0
766192787,2
766192788,2
766192789,1
