id,cluster
766192484,54
766192485,21
766192486,9
766192487,7
766192488,47
766192489,59
766192490,47
766192491,4
766192492,5
766192493,16
766192494,42
766192495,18
766192496,7
766192497,47
766192498,22
766192499,14
766192500,22
766192501,3
766192502,54
766192503,21
766192504,37
766192505,59
766192506,2
766192507,46
766192508,11
766192509,42
766192510,12
766192511,47
766192512,47
766192513,25
766192514,49
766192515,49
766192516,47
766192517,47
766192518,22
766192519,42
766192520,47
766192521,59
766192522,14
766192523,7
766192524,18
766192525,22
766192526,42
766192527,47
766192528,31
766192529,23
766192530,32
766192531,23
766192532,47
766192533,7
766192534,33
766192535,47
766192536,47
766192537,36
766192538,59
766192539,47
766192540,7
766192541,5
766192542,47
766192543,47
766192544,18
766192545,11
766192546,23
766192547,37
766192548,51
766192549,49
766192550,47
766192551,40
766192552,5
766192553,40
766192554,47
766192555,42
766192556,15
766192557,32
766192558,19
766192559,18
766192560,40
766192561,47
766192562,51
766192563,7
766192564,5
766192565,31
766192566,57
766192567,47
766192568,47
766192569,12
766192570,47
766192571,47
766192572,20
766192573,57
766192574,47
766192575,47
766192576,47
766192577,47
766192578,47
766192579,1
766192580,34
766192581,22
766192582,47
766192583,5
766192585,57
766192586,51
766192587,8
766192588,37
766192589,47
766192590,48
766192591,7
766192592,7
766192593,38
766192594,7
766192595,15
766192596,40
766192597,47
766192598,35
766192599,47
766192600,2
766192601,47
766192602,47
766192603,52
766192604,33
766192605,35
766192606,56
766192607,47
766192608,23
766192609,7
766192610,7
766192611,44
766192612,27
766192613,23
766192614,0
766192615,37
766192616,32
766192617,17
766192618,46
766192619,22
766192620,18
766192621,18
766192622,10
766192623,30
766192624,47
766192625,31
766192626,37
766192627,57
766192628,35
766192629,47
766192630,0
766192631,19
766192632,47
766192633,6
766192634,37
766192635,46
766192636,49
766192637,47
766192638,2
766192639,36
766192640,39
766192641,17
766192642,55
766192643,47
766192644,7
766192645,40
766192646,7
766192647,18
766192648,22
766192649,47
766192650,37
766192651,59
766192652,7
766192653,12
766192654,28
766192655,47
766192656,18
766192657,47
766192658,47
766192659,32
766192660,57
766192661,4
766192662,37
766192663,2
766192664,19
766192665,7
766192666,51
766192667,7
766192668,49
766192669,47
766192670,16
766192671,32
766192672,7
766192673,20
766192674,13
766192675,36
766192676,7
766192677,54
766192678,27
766192679,47
766192680,47
766192681,2
766192682,7
766192683,43
766192684,34
766192685,47
766192686,33
766192687,33
766192688,43
766192689,49
766192690,47
766192691,52
766192692,57
