id,cluster
766192484,1
766192485,1
766192486,1
766192487,3
766192488,2
766192489,4
766192490,2
766192491,0
766192492,2
766192493,4
766192494,5
766192495,0
766192496,5
766192497,1
766192498,0
766192499,0
766192500,4
766192501,4
766192502,6
766192503,1
766192504,1
766192505,1
766192506,4
766192507,0
766192508,2
766192509,2
766192510,1
766192511,0
766192512,2
766192513,1
766192514,2
766192515,2
766192516,0
766192517,2
766192518,0
766192519,1
766192520,1
766192521,1
766192522,4
766192523,0
766192524,0
766192525,1
766192526,1
766192527,2
766192528,1
766192529,0
766192530,2
766192531,0
766192532,2
766192533,1
766192534,1
766192535,2
766192536,2
766192537,4
766192538,1
766192539,0
766192540,1
766192541,2
766192542,2
766192543,4
766192544,4
766192545,2
766192546,0
766192547,2
766192548,1
766192549,1
766192550,0
766192551,2
766192552,2
766192553,0
766192554,2
766192555,4
766192556,1
766192557,1
766192558,5
766192559,0
766192560,2
766192561,0
766192562,2
766192563,3
766192564,2
766192565,6
766192566,5
766192567,2
766192568,4
766192569,1
766192570,2
766192571,1
766192572,2
766192573,0
766192574,1
766192575,2
766192576,5
766192577,1
766192578,1
766192579,1
766192580,0
766192581,4
766192582,1
